id, generations, popSize, bestPopSize, holePos, mutationRate, crossoverRate, runType, endFitness, endGeneration, time(ms), time(s)
0,10000,1000,4,300000.00,0.10,0.20,Multi,0.953136,1377,1716 ms, 1 s
1,10000,1000,4,300000.00,0.10,0.60,Multi,0.953136,1377,1681 ms, 1 s
2,10000,1000,4,300000.00,0.30,0.20,Multi,0.981158,8735,10728 ms, 10 s
3,10000,1000,4,300000.00,0.30,0.60,Multi,0.981158,8735,10723 ms, 10 s
4,10000,1000,4,300000.00,0.60,0.20,Multi,null,10000,8266 ms, 8 s
5,10000,1000,4,300000.00,0.60,0.60,Multi,0.000003,0,4135 ms, 4 s
6,10000,1000,8,300000.00,0.10,0.20,Multi,0.970766,1142,1357 ms, 1 s
7,10000,1000,8,300000.00,0.10,0.60,Multi,0.970766,1142,1357 ms, 1 s
8,10000,1000,8,300000.00,0.30,0.20,Multi,0.992154,4473,5480 ms, 5 s
9,10000,1000,8,300000.00,0.30,0.60,Multi,0.992154,4473,5483 ms, 5 s
10,10000,1000,8,300000.00,0.60,0.20,Multi,0.993308,5684,7042 ms, 7 s
11,10000,1000,8,300000.00,0.60,0.60,Multi,0.993308,5684,7072 ms, 7 s
12,10000,2000,4,300000.00,0.10,0.20,Multi,0.953136,1377,3422 ms, 3 s
13,10000,2000,4,300000.00,0.10,0.60,Multi,0.952610,1292,3250 ms, 3 s
14,10000,2000,4,300000.00,0.30,0.20,Multi,0.981158,8735,21758 ms, 21 s
15,10000,2000,4,300000.00,0.30,0.60,Multi,0.984541,2278,5821 ms, 5 s
16,10000,2000,4,300000.00,0.60,0.20,Multi,null,10000,16709 ms, 16 s
17,10000,2000,4,300000.00,0.60,0.60,Multi,0.961887,4745,8149 ms, 8 s
18,10000,2000,8,300000.00,0.10,0.20,Multi,0.970766,1142,2847 ms, 2 s
19,10000,2000,8,300000.00,0.10,0.60,Multi,0.959376,1118,2802 ms, 2 s
20,10000,2000,8,300000.00,0.30,0.20,Multi,0.992154,4473,11213 ms, 11 s
21,10000,2000,8,300000.00,0.30,0.60,Multi,0.971126,1105,2877 ms, 2 s
22,10000,2000,8,300000.00,0.60,0.20,Multi,0.995687,5673,14324 ms, 14 s
23,10000,2000,8,300000.00,0.60,0.60,Multi,0.964890,4752,12119 ms, 12 s
24,10000,1000,4,500000.00,0.10,0.20,Multi,0.985230,2154,2634 ms, 2 s
25,10000,1000,4,500000.00,0.10,0.60,Multi,0.985230,2154,2629 ms, 2 s
26,10000,1000,4,500000.00,0.30,0.20,Multi,0.989358,6909,8570 ms, 8 s
27,10000,1000,4,500000.00,0.30,0.60,Multi,0.989358,6909,8566 ms, 8 s
28,10000,1000,4,500000.00,0.60,0.20,Multi,null,10000,8338 ms, 8 s
29,10000,1000,4,500000.00,0.60,0.60,Multi,0.000002,0,4221 ms, 4 s
30,10000,1000,8,500000.00,0.10,0.20,Multi,0.996783,1763,2094 ms, 2 s
31,10000,1000,8,500000.00,0.10,0.60,Multi,0.996783,1763,2098 ms, 2 s
32,10000,1000,8,500000.00,0.30,0.20,Multi,0.952898,4218,5201 ms, 5 s
33,10000,1000,8,500000.00,0.30,0.60,Multi,0.952898,4218,5210 ms, 5 s
34,10000,1000,8,500000.00,0.60,0.20,Multi,null,10000,8327 ms, 8 s
35,10000,1000,8,500000.00,0.60,0.60,Multi,0.000002,0,4190 ms, 4 s
36,10000,2000,4,500000.00,0.10,0.20,Multi,0.985230,2154,5339 ms, 5 s
37,10000,2000,4,500000.00,0.10,0.60,Multi,0.980454,2037,5090 ms, 5 s
38,10000,2000,4,500000.00,0.30,0.20,Multi,0.989358,6909,17235 ms, 17 s
39,10000,2000,4,500000.00,0.30,0.60,Multi,0.988201,2743,6951 ms, 6 s
40,10000,2000,4,500000.00,0.60,0.20,Multi,null,10000,16762 ms, 16 s
41,10000,2000,4,500000.00,0.60,0.60,Multi,0.983039,5583,9510 ms, 9 s
42,10000,2000,8,500000.00,0.10,0.20,Multi,0.996783,1763,4345 ms, 4 s
43,10000,2000,8,500000.00,0.10,0.60,Multi,0.972798,1778,4399 ms, 4 s
44,10000,2000,8,500000.00,0.30,0.20,Multi,0.952898,4218,10566 ms, 10 s
45,10000,2000,8,500000.00,0.30,0.60,Multi,0.984370,1235,3194 ms, 3 s
46,10000,2000,8,500000.00,0.60,0.20,Multi,null,10000,16805 ms, 16 s
47,10000,2000,8,500000.00,0.60,0.60,Multi,0.958788,4934,8408 ms, 8 s
48,10000,1000,4,800000.00,0.10,0.20,Multi,0.973897,3443,4205 ms, 4 s
49,10000,1000,4,800000.00,0.10,0.60,Multi,0.973897,3443,4180 ms, 4 s
50,10000,1000,4,800000.00,0.30,0.20,Multi,0.991211,9865,12300 ms, 12 s
51,10000,1000,4,800000.00,0.30,0.60,Multi,0.991211,9865,12297 ms, 12 s
52,10000,1000,4,800000.00,0.60,0.20,Multi,null,10000,8350 ms, 8 s
53,10000,1000,4,800000.00,0.60,0.60,Multi,0.000001,0,4224 ms, 4 s
54,10000,1000,8,800000.00,0.10,0.20,Multi,0.984820,2896,3534 ms, 3 s
55,10000,1000,8,800000.00,0.10,0.60,Multi,0.984820,2896,3501 ms, 3 s
56,10000,1000,8,800000.00,0.30,0.20,Multi,0.962117,5909,7396 ms, 7 s
57,10000,1000,8,800000.00,0.30,0.60,Multi,0.962117,5909,7380 ms, 7 s
58,10000,1000,8,800000.00,0.60,0.20,Multi,null,10000,8359 ms, 8 s
59,10000,1000,8,800000.00,0.60,0.60,Multi,0.000001,0,4199 ms, 4 s
60,10000,2000,4,800000.00,0.10,0.20,Multi,0.973897,3443,8532 ms, 8 s
61,10000,2000,4,800000.00,0.10,0.60,Multi,0.979888,3263,8158 ms, 8 s
62,10000,2000,4,800000.00,0.30,0.20,Multi,0.991211,9865,24758 ms, 24 s
63,10000,2000,4,800000.00,0.30,0.60,Multi,0.977387,3289,8354 ms, 8 s
64,10000,2000,4,800000.00,0.60,0.20,Multi,null,10000,16786 ms, 16 s
65,10000,2000,4,800000.00,0.60,0.60,Multi,0.981096,5688,9673 ms, 9 s
66,10000,2000,8,800000.00,0.10,0.20,Multi,0.984820,2896,7090 ms, 7 s
67,10000,2000,8,800000.00,0.10,0.60,Multi,0.999819,2821,7003 ms, 7 s
68,10000,2000,8,800000.00,0.30,0.20,Multi,0.962117,5909,14812 ms, 14 s
69,10000,2000,8,800000.00,0.30,0.60,Multi,0.996347,1332,3438 ms, 3 s
70,10000,2000,8,800000.00,0.60,0.20,Multi,null,10000,16806 ms, 16 s
71,10000,2000,8,800000.00,0.60,0.60,Multi,0.999200,5333,9139 ms, 9 s
72,20000,1000,4,300000.00,0.10,0.20,Multi,0.953136,1377,1713 ms, 1 s
73,20000,1000,4,300000.00,0.10,0.60,Multi,0.953136,1377,1700 ms, 1 s
74,20000,1000,4,300000.00,0.30,0.20,Multi,0.981158,8735,10961 ms, 10 s
75,20000,1000,4,300000.00,0.30,0.60,Multi,0.981158,8735,10944 ms, 10 s
76,20000,1000,4,300000.00,0.60,0.20,Multi,null,20000,16843 ms, 16 s
77,20000,1000,4,300000.00,0.60,0.60,Multi,0.000003,0,8544 ms, 8 s
78,20000,1000,8,300000.00,0.10,0.20,Multi,0.970766,1142,1460 ms, 1 s
79,20000,1000,8,300000.00,0.10,0.60,Multi,0.970766,1142,1422 ms, 1 s
80,20000,1000,8,300000.00,0.30,0.20,Multi,0.992154,4473,5668 ms, 5 s
81,20000,1000,8,300000.00,0.30,0.60,Multi,0.992154,4473,5606 ms, 5 s
82,20000,1000,8,300000.00,0.60,0.20,Multi,0.993308,5684,7179 ms, 7 s
83,20000,1000,8,300000.00,0.60,0.60,Multi,0.993308,5684,7210 ms, 7 s
84,20000,2000,4,300000.00,0.10,0.20,Multi,0.953136,1377,3525 ms, 3 s
85,20000,2000,4,300000.00,0.10,0.60,Multi,0.952610,1292,3327 ms, 3 s
86,20000,2000,4,300000.00,0.30,0.20,Multi,0.981158,8735,22077 ms, 22 s
87,20000,2000,4,300000.00,0.30,0.60,Multi,0.984541,2278,5890 ms, 5 s
88,20000,2000,4,300000.00,0.60,0.20,Multi,null,20000,33778 ms, 33 s
89,20000,2000,4,300000.00,0.60,0.60,Multi,0.961887,4745,8112 ms, 8 s
90,20000,2000,8,300000.00,0.10,0.20,Multi,0.970766,1142,2878 ms, 2 s
91,20000,2000,8,300000.00,0.10,0.60,Multi,0.959376,1118,2830 ms, 2 s
92,20000,2000,8,300000.00,0.30,0.20,Multi,0.992154,4473,11342 ms, 11 s
93,20000,2000,8,300000.00,0.30,0.60,Multi,0.971126,1105,2869 ms, 2 s
94,20000,2000,8,300000.00,0.60,0.20,Multi,0.995687,5673,14456 ms, 14 s
95,20000,2000,8,300000.00,0.60,0.60,Multi,0.964890,4752,12225 ms, 12 s
96,20000,1000,4,500000.00,0.10,0.20,Multi,0.985230,2154,2656 ms, 2 s
97,20000,1000,4,500000.00,0.10,0.60,Multi,0.985230,2154,2677 ms, 2 s
98,20000,1000,4,500000.00,0.30,0.20,Multi,0.989358,6909,8667 ms, 8 s
99,20000,1000,4,500000.00,0.30,0.60,Multi,0.989358,6909,8627 ms, 8 s
100,20000,1000,4,500000.00,0.60,0.20,Multi,null,20000,16785 ms, 16 s
101,20000,1000,4,500000.00,0.60,0.60,Multi,0.000002,0,8396 ms, 8 s
102,20000,1000,8,500000.00,0.10,0.20,Multi,0.996783,1763,2116 ms, 2 s
103,20000,1000,8,500000.00,0.10,0.60,Multi,0.996783,1763,2120 ms, 2 s
104,20000,1000,8,500000.00,0.30,0.20,Multi,0.952898,4218,5246 ms, 5 s
105,20000,1000,8,500000.00,0.30,0.60,Multi,0.952898,4218,5404 ms, 5 s
106,20000,1000,8,500000.00,0.60,0.20,Multi,0.962684,11830,14859 ms, 14 s
107,20000,1000,8,500000.00,0.60,0.60,Multi,0.962684,11830,14901 ms, 14 s
108,20000,2000,4,500000.00,0.10,0.20,Multi,0.985230,2154,5388 ms, 5 s
109,20000,2000,4,500000.00,0.10,0.60,Multi,0.980454,2037,5193 ms, 5 s
110,20000,2000,4,500000.00,0.30,0.20,Multi,0.989358,6909,17672 ms, 17 s
111,20000,2000,4,500000.00,0.30,0.60,Multi,0.988201,2743,7108 ms, 7 s
112,20000,2000,4,500000.00,0.60,0.20,Multi,null,20000,33717 ms, 33 s
113,20000,2000,4,500000.00,0.60,0.60,Multi,0.983039,5583,9647 ms, 9 s
114,20000,2000,8,500000.00,0.10,0.20,Multi,0.996783,1763,4370 ms, 4 s
115,20000,2000,8,500000.00,0.10,0.60,Multi,0.972798,1778,4471 ms, 4 s
116,20000,2000,8,500000.00,0.30,0.20,Multi,0.952898,4218,10670 ms, 10 s
117,20000,2000,8,500000.00,0.30,0.60,Multi,0.984370,1235,3199 ms, 3 s
118,20000,2000,8,500000.00,0.60,0.20,Multi,0.970613,12006,30333 ms, 30 s
119,20000,2000,8,500000.00,0.60,0.60,Multi,0.958788,4934,12663 ms, 12 s
120,20000,1000,4,800000.00,0.10,0.20,Multi,0.973897,3443,4204 ms, 4 s
121,20000,1000,4,800000.00,0.10,0.60,Multi,0.973897,3443,4236 ms, 4 s
122,20000,1000,4,800000.00,0.30,0.20,Multi,0.991211,9865,12452 ms, 12 s
123,20000,1000,4,800000.00,0.30,0.60,Multi,0.991211,9865,12545 ms, 12 s
124,20000,1000,4,800000.00,0.60,0.20,Multi,null,20000,17469 ms, 17 s
125,20000,1000,4,800000.00,0.60,0.60,Multi,0.000001,0,8645 ms, 8 s
126,20000,1000,8,800000.00,0.10,0.20,Multi,0.984820,2896,3557 ms, 3 s
127,20000,1000,8,800000.00,0.10,0.60,Multi,0.984820,2896,3529 ms, 3 s
128,20000,1000,8,800000.00,0.30,0.20,Multi,0.962117,5909,7547 ms, 7 s
129,20000,1000,8,800000.00,0.30,0.60,Multi,0.962117,5909,7577 ms, 7 s
130,20000,1000,8,800000.00,0.60,0.20,Multi,null,20000,17139 ms, 17 s
131,20000,1000,8,800000.00,0.60,0.60,Multi,0.000001,0,8504 ms, 8 s
132,20000,2000,4,800000.00,0.10,0.20,Multi,0.973897,3443,8678 ms, 8 s
133,20000,2000,4,800000.00,0.10,0.60,Multi,0.979888,3263,8270 ms, 8 s
134,20000,2000,4,800000.00,0.30,0.20,Multi,0.991211,9865,25107 ms, 25 s
135,20000,2000,4,800000.00,0.30,0.60,Multi,0.977387,3289,8503 ms, 8 s
136,20000,2000,4,800000.00,0.60,0.20,Multi,null,20000,33716 ms, 33 s
137,20000,2000,4,800000.00,0.60,0.60,Multi,0.981096,5688,9755 ms, 9 s
138,20000,2000,8,800000.00,0.10,0.20,Multi,0.984820,2896,7061 ms, 7 s
139,20000,2000,8,800000.00,0.10,0.60,Multi,0.999819,2821,6944 ms, 6 s
140,20000,2000,8,800000.00,0.30,0.20,Multi,0.962117,5909,14778 ms, 14 s
141,20000,2000,8,800000.00,0.30,0.60,Multi,0.996347,1332,3432 ms, 3 s
142,20000,2000,8,800000.00,0.60,0.20,Multi,null,20000,33624 ms, 33 s
143,20000,2000,8,800000.00,0.60,0.60,Multi,0.999200,5333,9166 ms, 9 s
